"نام مرکز درمانی
",نوع  ,خدمات,زمینه تخصصی,"سازمان
 متبوع",استان,شهر,IPD
شهداء تبریز,آموزشی، درمانی,,ارتوپدی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,Yes
اختر تهران,آموزشی، درمانی,,ارتوپدی,دانشگاه علوم پزشکی,تهران,تهران,No
شفا یحیائیان ,آموزشی، درمانی، پژوهشی,,ارتوپدی,دانشگاه علوم پزشکی,تهران,تهران,No
سید الشهدا لاهیجان,درمانی,,ارتوپدی,دانشگاه علوم پزشکی,گیلان,لاهیجان‌,No
شهید دكتر معیری ,درمانی,,ارتوپدی,سازمان تامین اجتماعی,تهران,تهران,No
174 تختخوابی یاسوج,آموزشی، درمانی,,ارتوپدی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
شهید هاشمی نژاد,آموزشی، درمانی,,ارولوژی,دانشگاه علوم پزشکی,تهران,تهران,Yes
اطفال اكبر مشهد,درمانی,,اطفال,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,Yes
حضرت علی اصغر (ع) زاهدان ,درمانی,,اطفال,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
مرحوم شفیع زاده امیركلا - بابل,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,مازندران,بابل,No
كودكان تبریز,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
مركز طبی كودكان تهران,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
مركز آموزشی درمانی فوق تخصصی دكتر محمد كرمانشاهی,آموزشی، درمانی، پژوهشی,,اطفال,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
مركز آموزشی درمانی كودكان حضرت امام حسین (ع) اصفهان,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
ابوذر اهواز,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,خوزستان,اهواز,No
كودكان شهید حسین فهمیده,درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
كودكان بندر عباس,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,هرمزگان,بندرعباس‌,No
بهرامی,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
كودكان مفید,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
كودكان تهران,درمانی,,اطفال,بخش خصوصی,تهران,تهران,No
بوعلی اردبیل,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
آیت الله طالقانی گرگان,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,گلستان,گرگان‌,No
دكتر شیخ مشهد,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
حضرت علی اصغر (ع),آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
آیت الله  طالقانی گنبد كاووس,درمانی,,اطفال,دانشگاه علوم پزشکی,گلستان,گنبد كاووس‌,No
17 شهریور رشت,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,گیلان,رشت‌,No
مركز طبی كودكان بم,درمانی,,اطفال,دانشگاه علوم پزشکی,كرمان,بم‌,No
رازی تهران,آموزشی، درمانی، پژوهشی,,پوست,دانشگاه علوم پزشکی,تهران,تهران,No
سیدالشهداء (ع) جهرم,درمانی,,جراحی اعصاب,دانشگاه علوم پزشکی,فارس,جهرم‌,No
آیت اله عظمی خوئی,درمانی,,جراحی اعصاب,دانشگاه علوم پزشکی,آذربایجان غربی,خوی,No
پانزده خرداد تهران,آموزشی، درمانی,,جراحی ترمیمی,دانشگاه علوم پزشکی,تهران,تهران,No
نور البرز,درمانی,,چشم,بخش خصوصی,البرز,كرج‌,Yes
فارابی تهران,آموزشی، درمانی، پژوهشی,,چشم,دانشگاه علوم پزشکی,تهران,تهران,Yes
دكتر خدادوست شیراز,درمانی,,چشم,بخش خصوصی,فارس,شیراز,Yes
چشم پزشكی بینا,درمانی,,چشم,بخش خصوصی,تهران,تهران,Yes
نور تهران,درمانی,,چشم,بخش خصوصی,تهران,تهران,Yes
فوق تخصصی رازی,درمانی,,چشم,,تهران,تهران,Yes
شهید حیدری نهاوند,درمانی,,چشم,دانشگاه علوم پزشکی,همدان,نهاوند,No
علوی تبریز,آموزشی، درمانی,,چشم,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
متینی كاشان,آموزشی، درمانی,,چشم,دانشگاه علوم پزشکی,اصفهان,كاشان,No
چشم نیكوكاری تبریز,آموزشی، درمانی,,چشم,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
امیرالمومنین (ع) رشت,آموزشی، درمانی,,چشم,دانشگاه علوم پزشکی,گیلان,رشت‌,No
خاتم الانبیاء (ص) مشهد,آموزشی، درمانی,,چشم,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
نگاه تهران,درمانی,,چشم,بخش خصوصی,تهران,تهران,No
صدر (به آفرین),درمانی,,چشم,سازمان تامین اجتماعی,تهران,تهران,No
بینا مشهد,درمانی,,چشم,بخش خصوصی,خراسان رضوی,مشهد,No
فارابی اصفهان,درمانی,,روانپزشكی,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
نوریه كرمان,درمانی,,روانپزشكی,بخش خصوصی,كرمان,كرمان‌,No
اعصاب و روان استاد محرری,درمانی,,روانپزشكی,دانشگاه علوم پزشکی,فارس,شیراز,No
مركز آموزشی تحقیقاتی ودرمانی روانپزشكی بهاران زاهدان,آموزشی، درمانی، پژوهشی,,روانپزشكی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
ابن سینا شیراز,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,فارس,شیراز,No
فارابی كرمانشاه,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
22 بهمن قزوین,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,قزوین,قزوین‌,No
سلامت اهواز,درمانی,,روانپزشكی,دانشگاه علوم پزشکی,خوزستان,اهواز,No
روانپزشكی ایران,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,تهران,تهران,No
روزبه,آموزشی، درمانی، پژوهشی,,روانپزشكی,دانشگاه علوم پزشکی,تهران,تهران,No
آیت اله مدرس نجف آباد,درمانی,,روانپزشكی,دانشگاه علوم پزشکی,اصفهان,نجف‌اباد,No
رازی تبریز,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
شهید رجایی یاسوج,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
مركز آموزشی - درمانی رازی ارومیه (روانپزشكی سابق),آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,آذربایجان غربی,ارومیه‌,No
رضاعی,درمانی,,روانپزشكی,بخش خصوصی,تهران,تهران,No
شهید بهشتی كرمان,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,كرمان,كرمان‌,No
روانپزشكی سینا ,درمانی,,روانپزشكی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,فارسان‌,No
مركزجامع روانپزشكی استان یزد,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,یزد,تفت‌,No
اعصاب و روان ابن سینا بندرعباس,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,هرمزگان,بندرعباس‌,No
شفا رشت,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,گیلان,رشت‌,No
قدس سنندج,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,كردستان,سنندج‌,No
مركز آموزشی پ‍ژوهشی درمانی و روانپزشكی ابن سینا ,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
حجازی مشهد,درمانی,,روانپزشكی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
روانپزشكی نیایش ,درمانی,,روانپزشكی,بخش خصوصی,تهران,تهران,No
شهید دكتر بهشتی زنجان,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
كارگرنژاد كاشان,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,اصفهان,كاشان,No
روان پزشكی میمنت,درمانی,,روانپزشكی,بخش خصوصی,تهران,تهران,No
مركز آموزشی درمانی روانپزشكی رازی ,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,تهران,تهران,No
روانپزشكی فجر تبریز,درمانی,,روانپزشكی,بنیاد شهید و امور ایثارگران,آذربایجان شرقی,تبریز,No
روانپزشکی ایرانیان,درمانی,,روانپزشكی,بخش خصوصی,تهران,تهران,No
مهر خرم آباد,آموزشی، درمانی,,روانپزشكی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
ایثار اردبیل,درمانی,,روانپزشكی,بنیاد شهید و امور ایثارگران,اردبیل,اردبیل‌,No
روانپزشكی میلاد شهریار,درمانی,,روانپزشكی,بنیاد شهید و امور ایثارگران,تهران,شهریار,No
شهید رجایی گلدشت نجف آباد,درمانی,,روانپزشكی,بنیاد شهید و امور ایثارگران,اصفهان,نجف‌اباد,No
صدر تهران,درمانی,,روانپزشكی,بنیاد شهید و امور ایثارگران,تهران,تهران,No
روانپزشكی بوستان اهواز,درمانی,,روانپزشكی,بنیاد شهید و امور ایثارگران,خوزستان,اهواز,No
اعصاب و روان پرتو,درمانی,,روانپزشكی,بخش خصوصی,فارس,شیراز,No
جنّت شیراز,درمانی,,روانپزشكی,بنیاد شهید و امور ایثارگران,فارس,شیراز,No
دل آرام ,درمانی,,روانپزشكی,بخش خصوصی,تهران,ری,No
حضرت ابو الفضل العباس (ع) خرم آباد,درمانی,,روانپزشكی,بخش خصوصی,لرستان,خرم ‌اباد,No
آرش تهران,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,تهران,تهران,Yes
مرکز درمان ناباروری نوین,درمانی,,زنان و زایمان,بخش خصوصی,خراسان رضوی,مشهد,Yes
حضرت زهرا (س) قم ,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,قم,قم‌,No
ایزدی قم ,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,قم,قم‌,No
حاج کریم عسلی خرم آباد,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
شهید بهشتی اصفهان ,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
الهادی شوشتر,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,خوزستان,شوشتر,No
شهید رجایی آران و بیدگل,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,کاشان,آران و بیدگل,No
الزهرا (س) تبریز,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
شهداء بناب,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,آذربایجان شرقی,بناب,No
شهداء قوچان,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,خراسان رضوی,قوچان‌,No
فاطمیه (س) همدان,آموزشی، درمانی، پژوهشی,,زنان و زایمان,دانشگاه علوم پزشکی,همدان,همدان‌,No
كوثر قزوین,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,قزوین,قزوین‌,No
حضرت زینب (س) بابلسر,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,مازندران,بابلسر,No
شهید اكبرآبادی ,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,تهران,تهران,No
معتضدی كرمانشاه,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
آیت الله طالقانی اراك,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,مركزی,اراك‌,No
هفده شهریور مرزیكلا - بابل ,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,مازندران,بابل,No
مادر و كودك شوشتری,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,فارس,شیراز,No
ام البنین مشهد,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
29 بهمن تبریز,درمانی,,زنان و زایمان,سازمان تامین اجتماعی,آذربایجان شرقی,تبریز,No
الزهرا (س) رشت,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,گیلان,رشت‌,No
كمالی,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,البرز,كرج‌,No
شبیه خوانی كاشان ,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,اصفهان,كاشان,No
نیک نفس رفسنجان,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,كرمان,رفسنجان‌,No
فریده بهبهانی بهبهان ,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,خوزستان,بهبهان‌,No
مادران تهران,درمانی,,زنان و زایمان,بخش خصوصی,تهران,تهران,No
تخصصی زنان زایمان ونازائی مادر یزد,درمانی,,زنان و زایمان,بخش خصوصی,یزد,یزد,No
شهداء بهشهر,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,مازندران,بهشهر,No
مهدیه تهران,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,تهران,تهران,No
شهیدان مبینی سبزوار,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,خراسان رضوی,سبزوار,No
زایشگاه راه زینب (س) بندرامام خمینی,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,خوزستان,بندرماهشهر,No
هدایت تهران ,آموزشی، درمانی، پژوهشی,,زنان و زایمان,سازمان تامین اجتماعی,تهران,تهران,No
شهداء 17 شهریور ساوه,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,مركزی,ساوه‌,No
تخصصی زنان,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,آذربایجان غربی,ارومیه‌,No
مركز باروری و ناباروری فاطمه الزهرا (س) - بابل,آموزشی، درمانی، پژوهشی,,زنان و زایمان,دانشگاه علوم پزشکی,مازندران,بابل,No
دكترعلی شریعتی بتدر عباس,آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,هرمزگان,بندرعباس‌,No
حضرت علی (ع) كرج,درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,البرز,كرج‌,No
بی بی حکیمه (س),آموزشی، درمانی,,زنان و زایمان,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,گچساران‌,No
مركز درمانی ناباروری ,آموزشی، درمانی، پژوهشی,,زنان و زایمان,دانشگاه علوم پزشکی,یزد,یزد,No
مركز آموزشی درمانی شهید بقایی 2,آموزشی، درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,خوزستان,اهواز,No
آنكولوژی امیر شیراز,آموزشی، درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,فارس,شیراز,No
شفا اهواز,آموزشی، درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,خوزستان,اهواز,No
انستیتو کانسر,آموزشی، درمانی، پژوهشی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,تهران,تهران,No
شهید رجائی بابلسر,آموزشی، درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,مازندران,بابل,No
محک تهران,درمانی,,سرطان و انكولوژی,سازمانهای خیریه,تهران,تهران,No
رادیوتراپی ایران مهر,درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,خراسان جنوبی,بیرجند,No
امید مشهد,آموزشی، درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
آیت الله خوانساری اراك,آموزشی، درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,مركزی,اراك‌,No
سیدالشهداء (ع) اصفهان,آموزشی، درمانی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
مركز پرتودرمانی شهید رمضان زاده,آموزشی، درمانی، پژوهشی,,سرطان و انكولوژی,دانشگاه علوم پزشکی,یزد,یزد,No
شهید مطهری تهران,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,تهران,تهران,No
آیت اله طالقانی اهواز,درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,خوزستان,اهواز,No
قطب الدین شیرازی,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,فارس,شیراز,No
امام موسی كاظم (ع) اصفهان,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
سوانح و سوختگی چرومی گناوه,درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,بوشهر,گناوه‌,No
سینای تبریز,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
مركز آموزشی درمانی ولایت رشت,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,گیلان,رشت‌,No
شهداء محراب,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,یزد,یزد,No
مركز روانپزشكی و سوختگی زارع ساری,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,مازندران,ساری,No
سوانح و سوختگی,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,مازندران,بابل,No
سوانح سوختگی و ترمیمی امیر المومنین(ع) شیراز,آموزشی، درمانی,,سوانح و سوختگی,دانشگاه علوم پزشکی,فارس,شیراز,No
مركز آموزشی درمانی نكویی - هدایتی -فرقانی قم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,قم,قم‌,Yes
آپادانا اهواز,درمانی,,عمومی,بخش خصوصی,خوزستان,اهواز,Yes
آپادانا تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
مركز آموزشی درمانی شهید بهشتی قم ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قم,قم‌,Yes
دكتر موسوی گرگان ,درمانی,,عمومی,بخش خصوصی,گلستان,گرگان‌,Yes
گاندی تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
غیاثی تهران,درمانی,,عمومی,سازمانهای خیریه,تهران,تهران,Yes
بعثت همدان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,Yes
حضرت فاطمه (س) ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,Yes
عرفان تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
فرشچیان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,Yes
امام خمینی (ره) كرمانشاه,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,Yes
جم تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
لاله تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
بنت الهدی بجنورد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,بجنورد,Yes
پارس تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
رازی بیرجند,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,بیرجند,Yes
شهرام تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
شمس تبریز,درمانی,,عمومی,بخش خصوصی,آذربایجان شرقی,تبریز,Yes
آیت الله طالقانی تبریز,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,Yes
تخت جمشید,درمانی,,عمومی,بخش خصوصی,البرز,كرج‌,Yes
آتیه تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
بهمن تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
خاتم الانبیاء (ص) تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
محب كوثر,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
مهر تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
محب مهر تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
شهید مصطفی خمینی تهران,آموزشی، درمانی,,عمومی,بنیاد شهید و امور ایثارگران,تهران,تهران,Yes
البرز تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
آریا رشت,درمانی,,عمومی,بخش خصوصی,گیلان,رشت‌,Yes
آریا اهواز ,درمانی,,عمومی,بخش خصوصی,خوزستان,اهواز,Yes
آذربایجان ,درمانی,,عمومی,بخش خصوصی,آذربایجان غربی,ارومیه‌,Yes
شمال آمل,درمانی,,عمومی,بخش خصوصی,مازندران,امل‌,Yes
بوعلی همدان ,درمانی,,عمومی,بخش خصوصی,همدان,همدان‌,Yes
دی تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
دنا شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,Yes
دكتر میر حسینی شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,Yes
ابن سینا تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
حشمتیه سبزوار,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,سبزوار,Yes
كسری تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
مریم كرج,درمانی,,عمومی,بخش خصوصی,البرز,كرج‌,Yes
عرفان نیایش,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
امید تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
اردیبهشت,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,Yes
پارسیان تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
پاستورنو تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
پیامبران تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,Yes
سعدی,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,Yes
خصوصی شفا,درمانی,,عمومی,بخش خصوصی,لرستان,خرم ‌اباد,Yes
